Date,close,open,high,low,volume,change
2024-8-30,3331.6,3275.0,3358.0,3272.4,89.61K,1.59%
2024-8-29,3279.6,3271.0,3292.0,3267.0,56.81K,-0.04%
2024-8-28,3280.8,3300.0,3306.0,3272.8,55.95K,-0.62%
2024-8-27,3301.4,3313.4,3319.2,3295.2,41.81K,-0.44%
2024-8-26,3316.0,3327.0,3335.0,3304.4,48.28K,-0.16%
2024-8-23,3321.4,3300.6,3333.8,3299.0,54.11K,0.63%
2024-8-22,3300.6,3315.2,3322.0,3291.2,53.26K,-0.38%
2024-8-21,3313.2,3315.0,3324.4,3295.6,47.38K,-0.10%
2024-8-20,3316.6,3353.4,3354.6,3309.0,56.13K,-0.99%
2024-8-19,3349.8,3335.2,3374.8,3335.2,49.90K,0.20%
2024-8-16,3343.0,3336.2,3358.0,3336.2,17.66K,0.20%
2024-8-15,3336.2,3301.2,3362.0,3293.2,38.24K,0.78%
2024-8-14,3310.4,3332.2,3332.8,3303.0,34.46K,-0.29%
2024-8-13,3320.0,3330.0,3334.4,3307.4,39.94K,-0.11%
2024-8-12,3323.8,3325.4,3337.4,3317.4,37.89K,-0.20%
2024-8-9,3330.6,3356.6,3364.6,3325.0,42.69K,-0.31%
2024-8-8,3340.8,3330.0,3364.4,3313.6,46.18K,0.19%
2024-8-7,3334.6,3330.0,3358.8,3323.0,43.60K,0.19%
2024-8-6,3328.2,3368.0,3378.8,3312.6,57.52K,-0.53%
2024-8-5,3345.8,3363.6,3411.2,3337.0,67.34K,-1.09%
2024-8-2,3382.8,3394.6,3419.0,3374.4,47.26K,-1.10%
2024-8-1,3420.4,3444.0,3452.8,3414.4,43.23K,-0.66%
2024-7-31,3443.0,3356.0,3447.6,3356.0,63.41K,2.54%
2024-7-30,3357.6,3372.4,3375.0,3345.6,47.06K,-0.78%
2024-7-29,3384.0,3397.4,3399.2,3380.0,34.19K,-0.25%
2024-7-26,3392.4,3385.0,3411.8,3377.8,49.22K,0.33%
2024-7-25,3381.4,3395.0,3403.4,3368.4,56.30K,-0.58%
2024-7-24,3401.2,3426.6,3438.4,3390.8,56.52K,-1.10%
2024-7-23,3439.2,3489.6,3498.4,3427.2,48.79K,-1.44%
2024-7-22,3489.6,3515.0,3522.0,3476.0,50.65K,-1.16%
2024-7-19,3530.6,3499.0,3536.2,3492.0,22.33K,0.62%
2024-7-18,3509.0,3478.0,3516.0,3472.6,43.60K,0.26%
2024-7-17,3499.8,3485.2,3505.2,3477.6,47.55K,0.42%
2024-7-16,3485.0,3461.0,3490.6,3453.0,49.57K,0.62%
2024-7-15,3463.6,3456.0,3471.8,3453.8,38.03K,-0.04%
2024-7-12,3465.0,3455.4,3470.8,3452.4,37.30K,0.27%
2024-7-11,3455.8,3437.6,3468.8,3424.8,51.49K,1.23%
2024-7-10,3413.8,3416.0,3432.0,3409.0,39.70K,-0.24%
2024-7-9,3422.0,3378.8,3432.6,3363.0,62.50K,1.27%
2024-7-8,3379.0,3397.8,3403.6,3370.2,40.93K,-0.64%
2024-7-5,3400.6,3423.0,3427.0,3373.2,57.55K,-0.70%
2024-7-4,3424.6,3445.0,3459.8,3418.0,49.75K,-0.41%
2024-7-3,3438.6,3449.8,3452.0,3428.8,40.89K,-0.19%
2024-7-2,3445.2,3441.4,3461.2,3436.8,40.16K,-0.16%
2024-7-1,3450.8,3438.0,3458.6,3417.0,47.86K,0.40%
2024-6-28,3437.0,3425.0,3465.0,3422.0,57.83K,0.26%
2024-6-27,3428.0,3438.6,3442.0,3421.2,48.16K,-0.56%
2024-6-26,3447.4,3426.0,3459.6,3414.6,54.00K,0.67%
2024-6-25,3424.6,3453.6,3457.8,3409.2,57.71K,-0.91%
2024-6-24,3456.0,3446.0,3478.6,3441.4,57.67K,-1.06%
2024-6-21,3493.1,3505.0,3511.0,3475.0,25.88K,-0.41%
2024-6-20,3507.4,3529.8,3535.6,3501.0,40.55K,-0.61%
2024-6-19,3529.0,3541.4,3547.6,3522.4,45.27K,-0.12%
2024-6-18,3533.4,3533.8,3549.2,3526.4,52.59K,0.12%
2024-6-17,3529.2,3515.2,3536.6,3514.6,49.88K,-0.10%
2024-6-14,3532.8,3512.6,3540.2,3498.0,58.88K,0.58%
2024-6-13,3512.6,3536.8,3542.6,3507.4,47.30K,-0.63%
2024-6-12,3535.0,3533.4,3541.6,3521.2,42.34K,-0.03%
2024-6-11,3536.2,3548.0,3554.4,3517.6,54.31K,-0.65%
2024-6-7,3559.4,3595.0,3598.4,3539.0,66.75K,-0.66%
2024-6-6,3583.2,3598.0,3618.4,3570.6,66.36K,-0.11%
2024-6-5,3587.2,3593.0,3609.8,3583.0,44.89K,-0.38%
2024-6-4,3601.0,3570.2,3611.8,3565.8,58.08K,1.02%
2024-6-3,3564.6,3570.0,3587.6,3552.8,59.65K,-0.26%
2024-5-31,3574.0,3596.0,3606.8,3568.8,51.59K,-0.25%
2024-5-30,3582.8,3590.0,3614.8,3576.6,57.09K,-0.41%
2024-5-29,3597.6,3598.2,3623.0,3588.8,53.32K,0.13%
2024-5-28,3593.0,3612.8,3621.8,3587.0,48.80K,-0.55%
2024-5-27,3612.8,3598.6,3619.4,3588.6,51.76K,0.47%
2024-5-24,3596.0,3618.8,3637.6,3586.0,61.13K,-0.79%
